student_id,questions,answers,comments
ST001,7,9,39
ST002,4,20,11
ST003,9,19,21
ST004,2,1,29
ST005,20,29,67
ST006,3,13,17
ST007,5,13,37
ST008,2,2,8
ST009,1,5,6
ST010,2,5,6
ST011,2,0,1
ST012,1,4,3
ST013,0,4,7
ST014,1,5,1
ST015,8,15,37
ST016,5,2,28
ST017,2,16,38
ST018,2,2,6
ST019,1,1,30
ST020,5,18,21
ST021,14,20,26
ST022,2,19,28
ST023,5,16,9
ST024,0,1,2
ST025,7,30,37
ST026,10,18,21
ST027,7,16,22
ST028,10,4,11
ST029,1,0,4
ST030,1,4,4
ST031,8,6,38
ST032,7,3,27
ST033,6,1,36
ST034,7,30,45
ST035,6,19,9
ST036,3,9,20
ST037,1,0,1
ST038,1,3,7
ST039,17,13,63
ST040,7,5,28
ST041,1,5,11
ST042,10,8,29
ST043,8,2,37
ST044,0,2,0
ST045,0,2,0
ST046,2,0,5
ST047,10,23,28
ST048,10,14,28
ST049,2,19,25
ST050,6,3,11
ST051,2,2,3
ST052,1,13,30
ST053,2,2,7
ST054,7,20,8
ST055,6,19,6
ST056,17,10,40
ST057,14,24,29
ST058,10,11,43
ST059,2,5,7
ST060,10,14,28
ST061,2,4,0
ST062,5,3,18
ST063,6,6,20
ST064,2,20,19
ST065,0,1,3
ST066,14,32,24
ST067,3,9,36
ST068,16,25,55
ST069,3,10,31
ST070,2,7,17
ST071,5,16,37
ST072,9,17,80
ST073,3,10,11
ST074,1,0,10
ST075,7,18,40
ST076,0,0,9
ST077,2,9,29
ST078,5,17,47
ST079,0,0,3
ST080,0,1,0
ST081,6,19,15
ST082,2,4,2
ST083,1,0,0
ST084,17,13,25
ST085,8,16,37
ST086,2,1,9
ST087,0,2,3
ST088,10,7,26
ST089,1,7,17
ST090,1,3,0
ST091,5,9,27
ST092,2,2,2
ST093,19,27,47
ST094,0,4,10
ST095,0,4,7
ST096,6,16,30
ST097,1,2,0
ST098,2,5,8
ST099,9,10,31
ST100,1,0,8
ST101,9,3,32
ST102,0,0,5
ST103,9,9,7
ST104,0,1,10
ST105,10,10,61
ST106,5,19,6
ST107,6,8,32
ST108,2,0,8
ST109,3,5,37
ST110,10,3,19
ST111,0,1,3
ST112,3,16,16
ST113,2,1,8
ST114,1,3,5
ST115,1,5,8
ST116,8,30,35
ST117,2,1,2
ST118,7,6,16
ST119,9,23,57
ST120,1,1,0
ST121,1,5,12
ST122,5,12,38
ST123,5,22,24
ST124,2,5,7
ST125,0,1,6
ST126,4,13,27
ST127,2,6,27
ST128,6,6,17
ST129,1,1,8
ST130,2,5,10
ST131,5,11,38
ST132,2,1,7
ST133,2,2,8
ST134,1,1,10
ST135,1,2,9
ST136,5,7,14
ST137,0,5,3
ST138,1,5,2
ST139,6,15,12
ST140,14,36,56
ST141,8,14,21
ST142,10,17,12
ST143,3,1,13
ST144,1,4,7
ST145,4,7,20
ST146,12,34,76
ST147,2,0,3
ST148,0,0,1
ST149,1,1,2
ST150,0,4,4
ST151,3,14,22
ST152,12,32,31
ST153,8,1,18
ST154,2,6,26
ST155,19,20,80
ST156,7,33,21
ST157,0,5,10
ST158,7,16,50
ST159,0,4,8
ST160,4,10,28
ST161,2,2,9
ST162,1,2,10
ST163,2,5,2
ST164,4,11,14
ST165,2,1,5
ST166,1,0,6
ST167,1,15,35
ST168,2,6,27
ST169,0,0,5
ST170,1,2,3
ST171,7,1,31
ST172,2,7,24
ST173,2,0,5
ST174,2,4,5
ST175,19,40,33
ST176,7,13,35
ST177,4,20,36
ST178,10,1,36
ST179,10,39,43
ST180,6,4,23
ST181,2,8,25
ST182,9,4,6
ST183,8,4,17
ST184,11,17,76
ST185,10,6,29
ST186,3,16,7
ST187,5,19,14
ST188,8,35,36
ST189,6,11,24
ST190,8,36,34
ST191,4,7,34
ST192,5,1,11
ST193,1,5,5
ST194,4,9,34
ST195,2,5,1
ST196,8,19,5
ST197,9,16,35
ST198,9,38,45
ST199,10,20,24
ST200,3,13,14
ST201,1,8,31
ST202,8,9,6
ST203,9,3,36
ST204,2,12,10
ST205,1,4,2
ST206,10,18,7
ST207,8,16,31
ST208,8,12,13
ST209,13,10,29
ST210,8,10,23
ST211,1,3,9
ST212,1,1,5
ST213,10,2,40
ST214,1,7,23
ST215,1,4,2
ST216,0,1,3
ST217,0,2,6
ST218,7,24,46
ST219,1,13,40
ST220,8,19,32
ST221,8,19,30
ST222,5,16,19
ST223,11,18,65
ST224,14,20,80
ST225,6,13,33
ST226,2,3,8
ST227,12,40,58
ST228,10,13,5
ST229,4,1,23
ST230,9,7,32
ST231,10,9,32
ST232,2,18,16
ST233,2,4,0
ST234,7,9,34
ST235,10,20,34
ST236,1,10,36
ST237,5,18,21
ST238,2,2,1
ST239,0,3,1
ST240,10,7,28
ST241,10,6,26
ST242,2,7,13
ST243,6,3,13
ST244,14,26,32
ST245,2,2,6
ST246,6,13,20
ST247,1,0,6
ST248,5,3,22
ST249,20,13,34
ST250,1,5,0
ST251,7,1,25
ST252,2,19,34
ST253,4,14,31
ST254,15,20,60
ST255,2,0,7
ST256,17,26,63
ST257,2,6,26
ST258,2,20,26
ST259,12,20,31
ST260,8,5,35
ST261,2,9,14
ST262,2,17,22
ST263,10,39,41
ST264,2,7,7
ST265,5,18,23
ST266,1,9,18
ST267,4,7,28
ST268,6,13,23
ST269,1,4,6
ST270,9,12,23
ST271,7,39,74
ST272,1,16,20
ST273,1,14,24
ST274,10,6,11
ST275,4,8,14
ST276,7,19,17
ST277,1,4,9
ST278,7,12,18
ST279,7,22,43
ST280,1,2,7
ST281,2,4,9
ST282,2,16,36
ST283,7,2,31
ST284,8,5,16
ST285,11,17,29
ST286,10,20,24
ST287,2,5,7
ST288,0,5,7
ST289,17,20,23
ST290,0,5,1
ST291,8,15,10
ST292,5,12,10
ST293,6,3,5
ST294,20,39,20
ST295,2,7,25
ST296,1,4,10
ST297,2,4,1
ST298,10,25,22
ST299,2,0,9
ST300,10,5,23
ST301,1,5,6
ST302,0,1,3
ST303,10,5,21
ST304,6,13,31
ST305,5,20,40
ST306,12,19,38
ST307,20,39,38
ST308,3,12,32
ST309,2,9,39
ST310,9,13,31
ST311,1,4,3
ST312,1,2,10
ST313,12,38,21
ST314,13,37,73
ST315,2,5,6
ST316,0,4,8
ST317,8,13,27
ST318,7,18,66
ST319,0,4,3
ST320,2,1,5
ST321,6,18,28
ST322,3,19,10
ST323,5,17,28
ST324,1,0,4
ST325,7,4,9
ST326,5,6,40
ST327,2,2,2
ST328,9,36,54
ST329,0,0,0
ST330,3,17,8
ST331,1,3,3
ST332,1,0,5
ST333,16,29,45
ST334,4,17,22
ST335,1,13,26
ST336,1,3,10
ST337,7,14,10
ST338,6,10,28
ST339,13,31,56
ST340,5,2,8
ST341,9,9,23
ST342,0,0,0
ST343,5,24,56
ST344,4,13,19
ST345,2,5,8
ST346,2,6,32
ST347,7,3,23
ST348,4,3,20
ST349,9,17,7
ST350,10,9,18
ST351,5,34,47
ST352,17,21,29
ST353,10,3,9
ST354,5,9,24
ST355,16,18,21
ST356,0,0,1
ST357,5,11,48
ST358,9,12,31
ST359,8,17,13
ST360,0,0,0
ST361,2,2,0
ST362,6,19,23
ST363,9,10,9
ST364,15,14,30
ST365,5,15,37
ST366,8,13,20
ST367,1,8,27
ST368,16,34,57
ST369,2,5,6
ST370,1,1,3
ST371,2,0,3
ST372,1,9,29
ST373,1,0,10
ST374,3,14,38
ST375,9,1,23
ST376,6,3,11
ST377,7,39,47
ST378,0,3,10
ST379,1,0,7
ST380,10,16,27
ST381,7,21,25
ST382,0,5,6
ST383,2,5,3
ST384,9,14,14
ST385,7,27,75
ST386,8,19,34
ST387,2,0,0
ST388,2,5,0
ST389,9,14,21
ST390,8,13,39
ST391,1,5,39
ST392,1,5,8
ST393,15,39,26
ST394,9,39,35
ST395,1,15,38
ST396,10,3,40
ST397,9,3,20
ST398,18,39,29
ST399,3,16,33
ST400,2,0,2
ST401,2,3,10
ST402,14,14,67
ST403,6,14,13
ST404,6,2,31
ST405,16,14,20
ST406,3,10,7
ST407,2,13,7
ST408,3,13,28
ST409,13,37,40
ST410,0,1,9
ST411,1,1,8
ST412,1,10,9
ST413,1,3,5
ST414,20,14,73
ST415,3,3,7
ST416,20,11,38
ST417,1,19,22
ST418,11,24,40
ST419,7,15,31
ST420,8,15,34
ST421,15,19,80
ST422,7,1,39
ST423,0,2,9
ST424,4,9,14
ST425,2,4,3
ST426,3,19,20
ST427,1,0,3
ST428,19,20,60
ST429,7,10,15
ST430,5,17,40
ST431,12,35,52
ST432,9,14,40
ST433,7,11,57
ST434,9,25,68
ST435,0,3,3
ST436,3,3,5
ST437,1,1,10
ST438,11,12,62
ST439,1,4,5
ST440,2,5,9
ST441,8,28,32
ST442,20,12,24
ST443,10,6,7
ST444,19,15,59
ST445,8,8,11
ST446,4,9,9
ST447,6,16,45
ST448,4,8,5
ST449,3,20,15
ST450,1,14,23
ST451,1,2,24
ST452,1,3,1
ST453,9,17,35
ST454,1,1,25
ST455,4,4,38
ST456,6,12,16
ST457,1,1,10
ST458,2,0,7
ST459,4,15,8
ST460,0,2,9
ST461,8,18,8
ST462,2,11,6
ST463,1,0,0
ST464,10,18,23
ST465,7,14,17
ST466,11,29,77
ST467,1,1,8
ST468,18,26,73
ST469,12,37,27
ST470,8,20,11
ST471,0,4,6
ST472,1,1,2
ST473,5,9,15
ST474,7,34,33
ST475,7,5,7
ST476,1,4,1
ST477,8,28,68
ST478,1,14,14
ST479,0,2,3
ST480,3,17,25
ST481,3,18,33
ST482,9,2,36
ST483,9,10,26
ST484,10,12,7
ST485,6,7,36
ST486,2,5,10
ST487,1,2,5
ST488,1,3,4
ST489,5,12,11
ST490,8,14,5
ST491,0,5,3
ST492,3,19,40
ST493,5,3,23
ST494,7,13,30
ST495,10,23,51
ST496,20,19,79
ST497,6,6,20
ST498,2,2,8
ST499,9,11,58
ST500,16,23,45
